dimension,peta2_scanner,peta2_biological,p_scanner,p_biological,category
latent_6,0.0257,0.0153,1e-06,5.6e-05,Mixed
latent_8,0.1093,0.0565,0.0,0.0,Mixed
latent_10,0.0405,0.1406,0.0,0.0,Mixed
latent_17,0.0345,0.0296,0.0,1e-06,Mixed
latent_18,0.0362,0.0878,0.0,0.0,Mixed
latent_22,0.0692,0.0501,0.0,0.0,Mixed
latent_23,0.0473,0.0239,0.0,0.0,Mixed
latent_27,0.0415,0.1316,0.0,0.0,Mixed
latent_34,0.0669,0.0191,0.0,0.0,Mixed
latent_39,0.2788,0.2976,0.0,0.0,Mixed
latent_44,0.055,0.1147,0.0,0.0,Mixed
latent_50,0.0388,0.1326,0.0,0.0,Mixed
latent_51,0.0162,0.0178,0.001799,0.0,Mixed
latent_62,0.0457,0.0155,0.0,0.000228,Mixed
latent_67,0.0231,0.0106,7e-06,3.7e-05,Mixed
latent_72,0.0296,0.1207,0.0,0.0,Mixed
latent_75,0.034,0.0356,0.0,0.0,Mixed
latent_76,0.0203,0.0656,7e-05,0.0,Mixed
latent_86,0.0487,0.0438,0.0,0.0,Mixed
latent_90,0.0608,0.0212,0.0,4.1e-05,Mixed
latent_94,0.0429,0.0652,0.0,0.0,Mixed
latent_95,0.0248,0.0394,2e-06,0.0,Mixed
latent_99,0.1164,0.1661,0.0,0.0,Mixed
latent_102,0.0357,0.0335,0.0,0.0,Mixed
latent_107,0.0513,0.087,0.0,0.0,Mixed
latent_112,0.0227,0.0096,1e-05,0.001019,Mixed
latent_114,0.0577,0.0145,0.0,0.000134,Mixed
latent_115,0.0679,0.0065,0.0,0.003931,Mixed
latent_116,0.0921,0.172,0.0,0.0,Mixed
latent_118,0.0476,0.209,0.0,0.0,Mixed
latent_119,0.0257,0.1883,1e-06,0.0,Mixed
latent_126,0.1166,0.8413,0.0,0.0,Mixed
latent_133,0.0866,0.1545,0.0,0.0,Mixed
latent_134,0.1357,0.0664,0.0,0.0,Mixed
latent_135,0.0438,0.2984,0.0,0.0,Mixed
latent_136,0.0483,0.0622,0.0,0.0,Mixed
latent_142,0.0142,0.0684,0.007339,0.0,Mixed
latent_147,0.0319,0.0329,0.0,0.0,Mixed
latent_150,0.0174,0.015,0.000719,2e-06,Mixed
latent_154,0.029,0.0263,0.0,2e-06,Mixed
latent_155,0.055,0.1565,0.0,0.0,Mixed
latent_163,0.0741,0.2678,0.0,0.0,Mixed
latent_171,0.0564,0.017,0.0,0.0,Mixed
latent_181,0.0392,0.0154,0.0,5e-06,Mixed
latent_185,0.0215,0.0533,2.6e-05,0.0,Mixed
latent_187,0.0305,0.0673,0.0,0.0,Mixed
latent_192,0.0436,0.0057,0.0,0.022179,Mixed
latent_196,0.0229,0.0422,8e-06,0.0,Mixed
latent_197,0.0362,0.0138,0.0,4.4e-05,Mixed
latent_207,0.0498,0.0109,0.0,5.1e-05,Mixed
latent_209,0.0491,0.0451,0.0,0.0,Mixed
latent_212,0.0892,0.1117,0.0,0.0,Mixed
latent_213,0.1573,0.1031,0.0,0.0,Mixed
latent_214,0.029,0.0068,0.0,0.005833,Mixed
latent_217,0.0228,0.0306,9e-06,0.0,Mixed
latent_220,0.0714,0.0109,0.0,0.000797,Mixed
latent_222,0.0724,0.0707,0.0,0.0,Mixed
latent_223,0.0239,0.0452,4e-06,0.0,Mixed
latent_228,0.061,0.0575,0.0,0.0,Mixed
latent_229,0.0366,0.1086,0.0,0.0,Mixed
latent_231,0.1715,0.2203,0.0,0.0,Mixed
latent_233,0.0262,0.0415,0.0,0.0,Mixed
latent_242,0.0264,0.0171,0.0,0.000119,Mixed
latent_248,0.0622,0.0379,0.0,0.0,Mixed
latent_250,0.1089,0.1658,0.0,0.0,Mixed
latent_251,0.0812,0.0093,0.0,0.000385,Mixed
