dimension,peta2_scanner,peta2_biological,p_scanner,p_biological,category
latent_0,,0.0042,,0.000317,Neither
latent_2,,0.0169,,0.0,Neither
latent_3,,0.0347,,0.0,Neither
latent_4,,0.0001,,0.638795,Neither
latent_7,,0.0329,,0.0,Neither
latent_8,,0.0104,,0.0,Neither
latent_10,,0.0082,,2.3e-05,Neither
latent_11,,0.0068,,0.00013,Neither
latent_14,,0.0113,,0.0,Neither
latent_15,,0.0613,,0.0,Biological
latent_17,,0.0095,,2e-06,Neither
latent_18,,0.0021,,0.012578,Neither
latent_19,,0.0003,,0.307097,Neither
latent_20,,0.0003,,0.44966,Neither
latent_26,,0.0012,,0.129949,Neither
latent_29,,0.0016,,0.031994,Neither
latent_31,,0.0046,,0.003197,Neither
latent_34,,0.0171,,0.0,Neither
latent_35,,0.0002,,0.613053,Neither
latent_38,,0.0123,,0.0,Neither
latent_41,,0.0006,,0.177464,Neither
latent_47,,0.0195,,0.0,Neither
latent_48,,0.0222,,0.0,Neither
latent_51,,0.112,,0.0,Biological
latent_52,,0.0006,,0.216555,Neither
latent_55,,0.0003,,0.42671,Neither
latent_57,,0.0056,,0.00098,Neither
latent_63,,0.0058,,0.000122,Neither
latent_66,,0.0544,,0.0,Biological
latent_69,,0.0097,,3.2e-05,Neither
latent_70,,0.0126,,0.0,Neither
latent_76,,0.0015,,0.062131,Neither
latent_79,,0.0013,,0.059445,Neither
latent_82,,0.0006,,0.253654,Neither
latent_83,,0.0994,,0.0,Biological
latent_85,,0.0065,,0.000166,Neither
latent_86,,0.0001,,0.637955,Neither
latent_90,,0.0193,,0.0,Neither
latent_91,,0.0043,,0.000582,Neither
latent_95,,0.0101,,1.6e-05,Neither
latent_98,,0.0039,,0.001644,Neither
latent_99,,0.0078,,1.6e-05,Neither
latent_101,,0.0168,,0.0,Neither
latent_102,,0.0181,,0.0,Neither
latent_106,,0.064,,0.0,Biological
latent_110,,0.0087,,3e-06,Neither
latent_111,,0.0221,,0.0,Neither
latent_112,,0.0069,,0.000655,Neither
latent_113,,0.0116,,6e-06,Neither
latent_114,,0.2841,,0.0,Biological
latent_116,,0.0449,,0.0,Neither
latent_117,,0.0089,,2.5e-05,Neither
latent_119,,0.0088,,2.9e-05,Neither
latent_120,,0.0141,,0.0,Neither
latent_121,,0.0041,,0.001854,Neither
latent_124,,0.0206,,0.0,Neither
latent_129,,0.0065,,0.000251,Neither
latent_132,,0.0193,,0.0,Neither
latent_133,,0.0385,,0.0,Neither
latent_141,,0.0722,,0.0,Biological
latent_145,,0.0155,,0.0,Neither
latent_146,,0.0075,,2e-06,Neither
latent_147,,0.0232,,0.0,Neither
latent_150,,0.0125,,0.0,Neither
latent_151,,0.0015,,0.049303,Neither
latent_156,,0.0102,,0.0,Neither
latent_162,,0.0049,,0.000139,Neither
latent_163,,0.0032,,0.002591,Neither
latent_167,,0.0125,,0.0,Neither
latent_169,,0.011,,1e-06,Neither
latent_171,,0.0283,,0.0,Neither
latent_173,,0.0127,,0.0,Neither
latent_175,,0.0034,,0.001915,Neither
latent_176,,0.0101,,0.0,Neither
latent_180,,0.0026,,0.004843,Neither
latent_183,,0.0067,,6e-06,Neither
latent_185,,0.0232,,0.0,Neither
latent_188,,0.0071,,5.2e-05,Neither
latent_192,,0.0481,,0.0,Neither
latent_195,,0.0131,,0.0,Neither
latent_196,,0.0129,,5e-06,Neither
latent_197,,0.008,,2e-06,Neither
latent_198,,0.0021,,0.027939,Neither
latent_200,,0.0313,,0.0,Neither
latent_201,,0.019,,0.0,Neither
latent_203,,0.0477,,0.0,Neither
latent_205,,0.0116,,3e-06,Neither
latent_206,,0.0259,,0.0,Neither
latent_211,,0.0061,,3.1e-05,Neither
latent_214,,0.0313,,0.0,Neither
latent_216,,0.0129,,0.0,Neither
latent_218,,0.0017,,0.035164,Neither
latent_221,,0.0376,,0.0,Neither
latent_222,,0.0807,,0.0,Biological
latent_225,,0.0245,,0.0,Neither
latent_227,,0.0274,,0.0,Neither
latent_228,,0.0201,,0.0,Neither
latent_229,,0.0053,,0.000346,Neither
latent_232,,0.0055,,0.000137,Neither
latent_234,,0.0,,0.842417,Neither
latent_235,,0.0388,,0.0,Neither
latent_238,,0.0106,,7e-06,Neither
latent_241,,0.0023,,0.010999,Neither
latent_245,,0.0243,,0.0,Neither
latent_250,,0.0132,,3e-06,Neither
latent_251,,0.0164,,0.0,Neither
latent_253,,0.0229,,0.0,Neither
latent_254,,0.0047,,0.000151,Neither
