dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_2,0.0242,0.0006,0.262727,False,-0.1638,0.0268,0.0,True,0.0498,0.0025,0.021264,False
latent_3,-0.0,0.0,0.99823,False,-0.0198,0.0004,0.361324,False,0.0161,0.0003,0.457386,False
latent_4,0.0216,0.0005,0.319295,False,0.0259,0.0007,0.23242,False,0.0102,0.0001,0.637315,False
latent_7,-0.1777,0.0316,0.0,True,0.1694,0.0287,0.0,True,0.0268,0.0007,0.216203,False
latent_8,-0.0963,0.0093,8e-06,True,0.0286,0.0008,0.187197,False,0.0084,0.0001,0.699524,False
latent_10,0.0693,0.0048,0.001346,False,-0.0876,0.0077,5e-05,True,-0.0145,0.0002,0.50212,False
latent_11,-0.0117,0.0001,0.590357,False,-0.064,0.0041,0.003089,False,0.0559,0.0031,0.009782,False
latent_14,-0.0603,0.0036,0.005283,False,0.0306,0.0009,0.15698,False,-0.0131,0.0002,0.545128,False
latent_15,-0.1542,0.0238,0.0,True,0.1946,0.0379,0.0,True,0.0165,0.0003,0.444991,False
latent_17,-0.0394,0.0016,0.068703,False,0.0346,0.0012,0.109908,False,0.0256,0.0007,0.23642,False
latent_18,-0.0332,0.0011,0.125608,False,0.0617,0.0038,0.004373,False,0.0062,0.0,0.773542,False
latent_19,-0.0011,0.0,0.958023,False,-0.0256,0.0007,0.237061,False,0.0381,0.0014,0.078575,False
latent_20,-0.0665,0.0044,0.002112,False,-0.0999,0.01,4e-06,True,-0.0666,0.0044,0.002087,False
latent_22,0.0242,0.0006,0.26338,False,-0.1331,0.0177,0.0,True,0.0645,0.0042,0.00288,False
latent_25,0.0336,0.0011,0.120519,False,-0.0477,0.0023,0.027672,False,-0.0461,0.0021,0.033069,False
latent_26,-0.0233,0.0005,0.282866,False,-0.0578,0.0033,0.007563,False,0.0108,0.0001,0.619062,False
latent_29,0.0162,0.0003,0.455282,False,0.015,0.0002,0.489655,False,-0.064,0.0041,0.003105,False
latent_31,-0.0187,0.0003,0.388809,False,-0.0763,0.0058,0.000421,True,-0.012,0.0001,0.579294,False
latent_34,0.0587,0.0034,0.006671,False,-0.0139,0.0002,0.521666,False,-0.0242,0.0006,0.264143,False
latent_35,0.0426,0.0018,0.048892,False,0.0156,0.0002,0.470393,False,-0.0088,0.0001,0.685405,False
latent_38,0.0487,0.0024,0.024334,False,0.0279,0.0008,0.198021,False,-0.0759,0.0058,0.000446,True
latent_41,0.1131,0.0128,0.0,True,-0.0709,0.005,0.001047,False,-0.0262,0.0007,0.226698,False
latent_47,0.0232,0.0005,0.28468,False,-0.013,0.0002,0.547802,False,-0.0429,0.0018,0.047305,False
latent_48,0.001,0.0,0.961983,False,0.1242,0.0154,0.0,True,-0.0064,0.0,0.767284,False
latent_51,0.078,0.0061,0.000311,True,0.0485,0.0024,0.02502,False,0.0671,0.0045,0.001921,False
latent_55,0.0884,0.0078,4.3e-05,True,-0.07,0.0049,0.001215,False,0.0456,0.0021,0.035094,False
latent_56,0.074,0.0055,0.000621,False,0.032,0.001,0.138763,False,-0.0079,0.0001,0.715307,False
latent_57,0.0236,0.0006,0.27517,False,0.1235,0.0152,0.0,True,0.0552,0.003,0.010796,False
latent_63,-0.0572,0.0033,0.008258,False,0.0456,0.0021,0.035185,False,-0.0091,0.0001,0.67276,False
latent_66,-0.1536,0.0236,0.0,True,0.2364,0.0559,0.0,True,-0.0173,0.0003,0.425501,False
latent_69,0.0421,0.0018,0.051951,False,0.0081,0.0001,0.709914,False,0.0,0.0,0.999417,False
latent_70,0.121,0.0146,0.0,True,0.0107,0.0001,0.622688,False,0.0007,0.0,0.972727,False
latent_76,0.0364,0.0013,0.092977,False,0.0272,0.0007,0.209499,False,-0.0292,0.0009,0.17736,False
latent_79,0.0325,0.0011,0.133184,False,-0.0196,0.0004,0.365154,False,0.0064,0.0,0.769148,False
latent_82,0.0426,0.0018,0.049131,False,0.0229,0.0005,0.290804,False,0.0153,0.0002,0.479093,False
latent_83,0.0008,0.0,0.969668,False,-0.2286,0.0523,0.0,True,-0.0654,0.0043,0.002497,False
latent_84,0.0334,0.0011,0.123102,False,-0.0582,0.0034,0.007186,False,0.0076,0.0001,0.724027,False
latent_85,-0.0599,0.0036,0.005599,False,-0.0632,0.004,0.003499,False,0.0215,0.0005,0.320886,False
latent_86,0.0537,0.0029,0.013009,False,-0.0162,0.0003,0.453223,False,-0.015,0.0002,0.487557,False
latent_90,0.0603,0.0036,0.005308,False,0.1084,0.0117,1e-06,True,-0.0436,0.0019,0.043987,False
latent_91,-0.0,0.0,0.998766,False,-0.0581,0.0034,0.00729,False,0.0049,0.0,0.820403,False
latent_95,0.0177,0.0003,0.414363,False,0.0857,0.0074,7.3e-05,True,0.0202,0.0004,0.351894,False
latent_98,-0.0916,0.0084,2.3e-05,True,-0.0656,0.0043,0.002421,False,0.0221,0.0005,0.307855,False
latent_99,0.0414,0.0017,0.055695,False,-0.1275,0.0162,0.0,True,-0.0111,0.0001,0.609119,False
latent_101,0.0204,0.0004,0.346141,False,0.0387,0.0015,0.07355,False,-0.0272,0.0007,0.209537,False
latent_102,0.1249,0.0156,0.0,True,-0.0236,0.0006,0.275059,False,0.0375,0.0014,0.083276,False
latent_106,-0.0657,0.0043,0.002377,False,0.228,0.052,0.0,True,0.0125,0.0002,0.563968,False
latent_110,0.0021,0.0,0.921312,False,-0.0308,0.0009,0.155089,False,-0.0,0.0,0.998962,False
latent_111,-0.0376,0.0014,0.082555,False,0.0273,0.0007,0.207395,False,-0.0237,0.0006,0.272873,False
latent_112,0.0615,0.0038,0.004493,False,0.0344,0.0012,0.11174,False,0.014,0.0002,0.51724,False
latent_113,0.2221,0.0493,0.0,True,-0.1653,0.0273,0.0,True,-0.0086,0.0001,0.69188,False
latent_114,-0.1146,0.0131,0.0,True,-0.3884,0.1508,0.0,True,-0.0279,0.0008,0.19716,False
latent_116,0.0067,0.0,0.75646,False,0.1632,0.0266,0.0,True,0.0733,0.0054,0.000706,False
latent_117,0.0255,0.0006,0.239562,False,-0.0151,0.0002,0.485694,False,0.0005,0.0,0.982734,False
latent_118,-0.1054,0.0111,1e-06,True,-0.008,0.0001,0.711374,False,-0.0307,0.0009,0.155959,False
latent_119,-0.0398,0.0016,0.065759,False,0.0255,0.0007,0.238379,False,-0.0075,0.0001,0.727729,False
latent_120,-0.0822,0.0068,0.000144,True,0.0654,0.0043,0.002512,False,0.0078,0.0001,0.717273,False
latent_121,0.0055,0.0,0.799618,False,0.0188,0.0004,0.385099,False,-0.0234,0.0005,0.279577,False
latent_124,0.0115,0.0001,0.595143,False,0.0055,0.0,0.800123,False,-0.0253,0.0006,0.24347,False
latent_129,0.0002,0.0,0.99364,False,0.0065,0.0,0.764553,False,-0.0206,0.0004,0.341219,False
latent_132,-0.8192,0.6711,0.0,True,-0.3274,0.1072,0.0,True,0.0097,0.0001,0.653715,False
latent_133,0.0491,0.0024,0.023241,False,0.0209,0.0004,0.334885,False,-0.0124,0.0002,0.566216,False
latent_141,0.0331,0.0011,0.126435,False,-0.2434,0.0592,0.0,True,-0.0435,0.0019,0.044581,False
latent_145,0.0181,0.0003,0.402966,False,0.1801,0.0324,0.0,True,0.0311,0.001,0.150375,False
latent_146,-0.0021,0.0,0.922875,False,0.1243,0.0155,0.0,True,0.0217,0.0005,0.316023,False
latent_147,-0.1396,0.0195,0.0,True,-0.1199,0.0144,0.0,True,-0.0439,0.0019,0.042538,False
latent_150,0.1595,0.0254,0.0,True,0.092,0.0085,2.1e-05,True,-0.0019,0.0,0.931771,False
latent_151,0.1756,0.0308,0.0,True,-0.0468,0.0022,0.030547,False,0.0236,0.0006,0.275332,False
latent_156,0.0632,0.004,0.003483,False,0.0038,0.0,0.862472,False,0.0147,0.0002,0.498638,False
latent_162,-0.0195,0.0004,0.36678,False,-0.0044,0.0,0.838082,False,0.041,0.0017,0.05796,False
latent_163,-0.0017,0.0,0.936883,False,0.1413,0.02,0.0,True,-0.0258,0.0007,0.23354,False
latent_166,-0.0539,0.0029,0.012741,False,0.0135,0.0002,0.532391,False,-0.0194,0.0004,0.371423,False
latent_169,0.0209,0.0004,0.334118,False,-0.0599,0.0036,0.005601,False,-0.0086,0.0001,0.690104,False
latent_171,-0.104,0.0108,1e-06,True,-0.0191,0.0004,0.377559,False,-0.0354,0.0013,0.102324,False
latent_173,0.1175,0.0138,0.0,True,-0.1671,0.0279,0.0,True,-0.1273,0.0162,0.0,True
latent_175,-0.0267,0.0007,0.217773,False,0.0167,0.0003,0.44147,False,-0.0632,0.004,0.003476,False
latent_176,-0.0464,0.0021,0.032183,False,-0.0096,0.0001,0.656826,False,-0.0269,0.0007,0.21401,False
latent_180,-0.047,0.0022,0.029711,False,-0.0604,0.0036,0.005231,False,-0.0077,0.0001,0.721046,False
latent_183,-0.0074,0.0001,0.731785,False,0.0023,0.0,0.913876,False,-0.0118,0.0001,0.585366,False
latent_185,0.0134,0.0002,0.53498,False,0.0782,0.0061,0.000298,True,-0.0221,0.0005,0.306909,False
