dimension,SBR_XING_PC1_r,SBR_XING_PC1_r2,SBR_XING_PC1_p,SBR_XING_PC1_sig,SBR_XING_PC2_r,SBR_XING_PC2_r2,SBR_XING_PC2_p,SBR_XING_PC2_sig,SBR_XING_PC3_r,SBR_XING_PC3_r2,SBR_XING_PC3_p,SBR_XING_PC3_sig
latent_2,0.0383,0.0015,0.076968,False,-0.0752,0.0056,0.00051,True,0.0201,0.0004,0.353603,False
latent_7,-0.0708,0.005,0.001065,True,0.1247,0.0155,0.0,True,0.0182,0.0003,0.401288,False
latent_15,-0.2093,0.0438,0.0,True,0.1866,0.0348,0.0,True,0.0257,0.0007,0.235916,False
latent_26,-0.0114,0.0001,0.598456,False,-0.0768,0.0059,0.000382,True,0.0071,0.0001,0.741513,False
latent_31,-0.0058,0.0,0.790488,False,-0.0421,0.0018,0.05194,False,-0.0305,0.0009,0.159323,False
latent_41,0.0191,0.0004,0.378159,False,-0.1213,0.0147,0.0,True,-0.0282,0.0008,0.192772,False
latent_51,0.068,0.0046,0.001665,False,0.0919,0.0085,2.1e-05,True,0.0797,0.0063,0.000228,True
latent_55,0.0213,0.0005,0.324978,False,-0.0323,0.001,0.136095,False,0.0332,0.0011,0.125278,False
latent_66,-0.0933,0.0087,1.6e-05,True,0.0571,0.0033,0.008345,False,-0.0235,0.0006,0.277002,False
latent_70,-0.0159,0.0003,0.461654,False,-0.0284,0.0008,0.188867,False,0.0362,0.0013,0.094296,False
latent_83,-0.0833,0.0069,0.000117,True,-0.0474,0.0022,0.028527,False,-0.0287,0.0008,0.184737,False
latent_85,-0.031,0.001,0.152056,False,-0.0204,0.0004,0.345241,False,0.0217,0.0005,0.317033,False
latent_106,-0.0568,0.0032,0.008698,False,0.2673,0.0714,0.0,True,0.0072,0.0001,0.738641,False
latent_113,0.0139,0.0002,0.522051,False,-0.0688,0.0047,0.001465,True,0.0141,0.0002,0.513846,False
latent_114,0.0276,0.0008,0.202725,False,-0.4011,0.1608,0.0,True,-0.0531,0.0028,0.014078,False
latent_116,0.0152,0.0002,0.482653,False,0.0967,0.0093,8e-06,True,0.0237,0.0006,0.274452,False
latent_129,0.039,0.0015,0.071741,False,-0.0119,0.0001,0.583123,False,0.0026,0.0,0.903276,False
latent_132,-0.8266,0.6832,0.0,True,-0.3391,0.115,0.0,True,0.0181,0.0003,0.403169,False
latent_133,-0.014,0.0002,0.517081,False,-0.0102,0.0001,0.638874,False,-0.0393,0.0015,0.06949,False
latent_141,-0.0467,0.0022,0.031032,False,-0.2506,0.0628,0.0,True,-0.0163,0.0003,0.452971,False
latent_150,0.1693,0.0287,0.0,True,0.0986,0.0097,5e-06,True,-0.0046,0.0,0.831793,False
latent_162,-0.036,0.0013,0.096596,False,-0.0597,0.0036,0.005766,False,-0.0011,0.0,0.960727,False
latent_163,-0.0545,0.003,0.011803,False,-0.0048,0.0,0.824926,False,-0.0021,0.0,0.923346,False
latent_171,-0.0725,0.0053,0.000803,True,-0.0446,0.002,0.039159,False,-0.0037,0.0,0.864688,False
latent_173,-0.0327,0.0011,0.131142,False,-0.1145,0.0131,0.0,True,-0.1032,0.0106,2e-06,True
latent_192,0.0563,0.0032,0.009225,False,-0.1787,0.0319,0.0,True,-0.0052,0.0,0.809546,False
latent_197,-0.0263,0.0007,0.224525,False,-0.0243,0.0006,0.260939,False,-0.0578,0.0033,0.007529,False
latent_206,-0.0692,0.0048,0.001385,True,0.0657,0.0043,0.002405,False,-0.0039,0.0,0.856989,False
latent_214,-0.0265,0.0007,0.221505,False,0.2336,0.0546,0.0,True,-0.0246,0.0006,0.255088,False
latent_218,-0.0453,0.002,0.03651,False,-0.1134,0.0129,0.0,True,-0.0303,0.0009,0.162124,False
latent_222,-0.0136,0.0002,0.52883,False,-0.0954,0.0091,1e-05,True,-0.0449,0.002,0.038236,False
latent_228,-0.0552,0.003,0.010785,False,0.0417,0.0017,0.054043,False,0.0009,0.0,0.966961,False
latent_232,-0.0698,0.0049,0.001249,True,0.249,0.062,0.0,True,0.0382,0.0015,0.077544,False
latent_245,0.0272,0.0007,0.209315,False,0.0738,0.0055,0.00064,True,0.0057,0.0,0.79401,False
