dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_2,0.1326,0.0176,0.0,True,0.0253,0.0006,0.206555,False,-0.0685,0.0047,0.000229,True,-0.0368,0.0014,0.130479,False,0.0089,0.0,True,0.0002,0.763785,False,0.003,0.052475,False
latent_3,-0.129,0.0167,0.0,True,-0.079,0.0062,7.7e-05,True,0.052,0.0027,0.005193,False,-0.1029,0.0106,2.2e-05,True,0.0325,0.0,True,0.0032,0.007738,False,0.0057,0.001807,False
latent_4,-0.0322,0.001,0.073815,False,-0.0522,0.0027,0.009012,False,0.0008,0.0,0.965477,False,-0.0002,0.0,0.993353,False,0.0024,0.006682,False,0.0011,0.197587,False,0.0052,0.006856,False
latent_7,-0.0956,0.0091,0.0,True,0.0574,0.0033,0.004131,False,0.0146,0.0002,0.432523,False,-0.0705,0.005,0.003716,False,0.0175,0.0,True,0.0006,0.371977,False,0.0058,0.001351,False
latent_8,0.0928,0.0086,0.0,True,0.1653,0.0273,0.0,True,-0.0812,0.0066,1.2e-05,True,0.0138,0.0002,0.569825,False,0.0018,0.016961,False,0.0024,0.023896,False,0.0333,0.0,True
latent_10,-0.0167,0.0003,0.352967,False,-0.0989,0.0098,1e-06,True,0.0161,0.0003,0.387856,False,0.0399,0.0016,0.100627,False,0.0098,0.0,True,0.0056,0.000182,True,0.0171,0.0,True
latent_11,0.0912,0.0083,0.0,True,0.0258,0.0007,0.197783,False,-0.0275,0.0008,0.139707,False,0.0298,0.0009,0.220522,False,0.0073,2e-06,True,0.0016,0.090165,False,0.0055,0.002623,False
latent_14,-0.0987,0.0098,0.0,True,0.043,0.0019,0.031415,False,0.0565,0.0032,0.002381,False,-0.0505,0.0026,0.03773,False,0.0015,0.031242,False,0.0,0.974117,False,0.0097,2e-06,True
latent_15,-0.1303,0.017,0.0,True,0.071,0.005,0.000381,True,0.0157,0.0002,0.399438,False,-0.0164,0.0003,0.501636,False,0.0006,0.190202,False,0.0003,0.599842,False,0.0142,0.0,True
latent_17,-0.0095,0.0001,0.598786,False,-0.0541,0.0029,0.006848,False,-0.0031,0.0,0.867058,False,0.0053,0.0,0.827312,False,0.0001,0.685554,False,0.0035,0.004349,False,0.0008,0.654499,False
