dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,BradyRig_Total_r,BradyRig_Total_r2,BradyRig_Total_p,BradyRig_Total_sig,Tremor_Total_r,Tremor_Total_r2,Tremor_Total_p,Tremor_Total_sig,AI_BradyRig_Diff_r,AI_BradyRig_Diff_r2,AI_BradyRig_Diff_p,AI_BradyRig_Diff_sig,AI_Tremor_Diff_r,AI_Tremor_Diff_r2,AI_Tremor_Diff_p,AI_Tremor_Diff_sig,AI_BradyRig_Norm_r,AI_BradyRig_Norm_r2,AI_BradyRig_Norm_p,AI_BradyRig_Norm_sig,AI_Tremor_Norm_r,AI_Tremor_Norm_r2,AI_Tremor_Norm_p,AI_Tremor_Norm_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_0,0.057,0.0033,0.001547,False,0.0042,0.0,0.834515,False,0.0541,0.0029,0.003669,False,0.0444,0.002,0.026446,False,-0.0095,0.0001,0.634059,False,0.0204,0.0004,0.307386,False,0.0343,0.0012,0.086389,False,0.022,0.0005,0.271754,False,0.0385,0.0015,0.054367,False,0.0307,0.0009,0.124364,False,0.0008,0.116462,False,0.0001,0.840864,False,0.0025,0.097089,False
latent_2,0.1737,0.0302,0.0,True,0.0614,0.0038,0.002135,False,-0.0799,0.0064,1.7e-05,True,0.0922,0.0085,4e-06,True,0.0256,0.0007,0.200293,False,0.051,0.0026,0.010701,False,0.1079,0.0116,0.0,True,0.1167,0.0136,0.0,True,0.0944,0.0089,2e-06,True,0.1062,0.0113,0.0,True,0.012,0.0,True,0.0008,0.273431,False,0.004,0.011616,False
latent_3,-0.1929,0.0372,0.0,True,-0.1262,0.0159,0.0,True,0.0671,0.0045,0.00031,True,0.1529,0.0234,0.0,True,-0.0802,0.0064,5.9e-05,True,-0.1206,0.0145,0.0,True,0.2492,0.0621,0.0,True,0.1943,0.0378,0.0,True,0.2211,0.0489,0.0,True,0.2032,0.0413,0.0,True,0.0324,0.0,True,0.0032,0.006757,False,0.0113,0.0,True
latent_4,-0.0456,0.0021,0.011307,False,-0.0576,0.0033,0.00396,False,0.0428,0.0018,0.021383,False,-0.0222,0.0005,0.268072,False,-0.0423,0.0018,0.034475,False,-0.0475,0.0023,0.01753,False,-0.0114,0.0001,0.569474,False,-0.0133,0.0002,0.505718,False,-0.0101,0.0001,0.615407,False,-0.0116,0.0001,0.563609,False,0.0015,0.032229,False,0.0016,0.079644,False,0.0053,0.001762,False
latent_7,-0.1286,0.0165,0.0,True,0.0212,0.0004,0.289968,False,0.0508,0.0026,0.006342,False,-0.2434,0.0592,0.0,True,0.0405,0.0016,0.043051,False,-0.0432,0.0019,0.030922,False,-0.2567,0.0659,0.0,True,-0.241,0.0581,0.0,True,-0.2438,0.0594,0.0,True,-0.2478,0.0614,0.0,True,0.0312,0.0,True,0.0007,0.355887,False,0.0049,0.0042,False
latent_8,0.0926,0.0086,0.0,True,0.1785,0.0319,0.0,True,-0.0803,0.0065,1.6e-05,True,0.0171,0.0003,0.3924,False,0.1522,0.0232,0.0,True,0.1103,0.0122,0.0,True,-0.0106,0.0001,0.596217,False,-0.0086,0.0001,0.666639,False,0.0104,0.0001,0.604145,False,-0.0101,0.0001,0.612187,False,0.0004,0.271186,False,0.004,0.002218,False,0.0362,0.0,True
latent_10,-0.0324,0.001,0.072227,False,-0.1659,0.0275,0.0,True,0.0404,0.0016,0.030111,False,0.0726,0.0053,0.000281,True,-0.136,0.0185,0.0,True,-0.0952,0.0091,2e-06,True,0.1038,0.0108,0.0,True,0.0725,0.0053,0.000285,True,0.1042,0.0109,0.0,True,0.0885,0.0078,9e-06,True,0.0093,0.0,True,0.0046,0.000796,False,0.0364,0.0,True
latent_11,0.1355,0.0184,0.0,True,0.0497,0.0025,0.012969,False,-0.0548,0.003,0.003242,False,0.1701,0.0289,0.0,True,0.0328,0.0011,0.100672,False,0.0658,0.0043,0.001002,False,0.1512,0.0229,0.0,True,0.1647,0.0271,0.0,True,0.1547,0.0239,0.0,True,0.155,0.024,0.0,True,0.003,0.002385,False,0.0042,0.001535,False,0.0157,0.0,True
latent_14,-0.132,0.0174,0.0,True,0.015,0.0002,0.453629,False,0.0857,0.0074,4e-06,True,-0.0267,0.0007,0.182345,False,0.036,0.0013,0.072199,False,-0.034,0.0012,0.089058,False,-0.0176,0.0003,0.378654,False,-0.0344,0.0012,0.085138,False,-0.0194,0.0004,0.332729,False,-0.0214,0.0005,0.284751,False,0.0019,0.015753,False,0.0,0.988354,False,0.0094,3e-06,True
latent_15,-0.2337,0.0546,0.0,True,0.1644,0.027,0.0,True,0.0562,0.0032,0.002545,False,0.1156,0.0134,0.0,True,0.1685,0.0284,0.0,True,0.0432,0.0019,0.030618,False,0.1463,0.0214,0.0,True,0.1238,0.0153,0.0,True,0.1081,0.0117,0.0,True,0.1376,0.0189,0.0,True,0.0022,0.009624,False,0.0008,0.311124,False,0.063,0.0,True
